StationID,PortNum,Type,Status,Year,Month,Day,Hour,Min,CarLicense
205,3,SLOW,2,0,0,0,0,0,NULL
205,2,MID,2,0,0,0,0,0,NULL
205,1,FAST,2,0,0,0,0,0,NULL
307,5,MID,2,0,0,0,0,0,NULL
307,4,MID,2,0,0,0,0,0,NULL
307,3,SLOW,3,0,0,0,0,0,NULL
307,2,FAST,2,0,0,0,0,0,NULL
307,1,FAST,2,0,0,0,0,0,NULL
412,4,SLOW,2,0,0,0,0,0,NULL
412,2,FAST,2,0,0,0,0,0,NULL
412,1,FAST,2,0,0,0,0,0,NULL
412,3,FAST,2,0,0,0,0,0,NULL
412,5,SLOW,2,0,0,0,0,0,NULL
518,6,SLOW,2,0,0,0,0,0,NULL
518,5,MID,2,0,0,0,0,0,NULL
518,4,FAST,2,0,0,0,0,0,NULL
518,3,MID,2,0,0,0,0,0,NULL
518,2,SLOW,2,0,0,0,0,0,NULL
518,1,MID,2,0,0,0,0,0,NULL
623,4,MID,2,0,0,0,0,0,NULL
623,2,FAST,2,0,0,0,0,0,NULL
623,1,MID,2,0,0,0,0,0,NULL
